storage,manufacturer,name,lot_number,manufactured_on,expired_on
"Gatorade Lab, Non-Hazardous",PepsiCo,Lemon Ice Flavor,93249*01,3/24/2013,9/24/2014
"Gatorade Lab, Hazardous",PepsiCo,Propel lLemon Flavor,93946*01,3/24/2013,9/24/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Apple Pear WONF,1001832530,3/28/2014,9/28/2015
"Gatorade Lab, Non-Hazardous",Givaudan,N&A Orange Grapefruit Flavor,EH00061080,3/27/2014,9/27/2015
"Gatorade Lab, Non-Hazardous",Nutrinova,21016251 Qorus Dolce 2100,64813QR01,3/27/2014,9/27/2015
"Gatorade Lab, Non-Hazardous",Nutrinova,21016250 Qorus Dolce 1100,647045QR01,3/27/2014,9/27/2015
"Gatorade Lab, Non-Hazardous",Kerry,Dry Powder Orange,7D124101,3/24/2014,9/24/2015
"Gatorade Lab, Non-Hazardous",Kerry,Dry Powder Chocolate,70028501,3/24/2014,9/24/2015
"Gatorade Lab, Non-Hazardous",Kerry ,Dry Powder Lemon Lime,70127601,3/24/2014,9/24/2015
"Gatorade Lab, Non-Hazardous",Kerry ,Dry Powder Vanilla,70091101,3/24/2014,9/24/2015
"Gatorade Lab, Non-Hazardous",Kerry ,Dry Powder Lemon Lime,70076001,3/24/2014,9/24/2015
